l,C_l_GoE,C_l_LCDM,D_l_GoE,D_l_LCDM
190,1.2111421015571396e-08,6.734942395923802e-09,6.995233264135265e-05,3.889922827340369e-05
191,1.1952258718793236e-08,6.6773888723950745e-09,6.975971745330185e-05,3.897278096329003e-05
192,1.179626107479675e-08,6.62059027457186e-09,6.957016688465059e-05,3.9045894911646405e-05
193,1.1643340148221072e-08,6.564529922951898e-09,6.938358818281994e-05,3.911855489831089e-05
194,1.1493410676883057e-08,6.509191427283571e-09,6.919988901324612e-05,3.919074476647444e-05
195,1.1346389990443539e-08,6.4545586883444136e-09,6.901897751435476e-05,3.926244747017653e-05
196,1.120219793176994e-08,6.400615899423929e-09,6.884076235142272e-05,3.93336451220303e-05
197,1.1060756780887698e-08,6.347347547519076e-09,6.86651527692997e-05,3.9404319041111574e-05
198,1.0921991181417357e-08,6.294738414250422e-09,6.849205864395915e-05,3.94744498009449e-05
199,1.078582806939898e-08,6.242773576506957e-09,6.832139053284966e-05,3.95440172775212e-05
200,1.0652196604410062e-08,6.191438406827428e-09,6.815305972401829e-05,3.96130006972829e-05
201,1.0521028102886916e-08,6.140718573525843e-09,6.798697828397584e-05,3.9681378685011945e-05
202,1.039225597356405e-08,6.090600040568825e-09,6.782305910427725e-05,3.974912931155841e-05
203,1.0265815654949224e-08,6.0410690672121585e-09,6.766121594678701e-05,3.98162301413466e-05
204,1.0141644554756129e-08,5.992112207404066e-09,6.750136348760388e-05,3.988265827959858e-05
205,1.0019681991219614e-08,5.94371630896233e-09,6.734341735961639e-05,3.9948390419214005e-05
206,9.899869136221973e-09,5.895868512532521e-09,6.718729419366326e-05,4.001340288724767e-05
207,9.782148960161894e-09,5.848556250334384e-09,6.703291165827339e-05,4.0077671690926596e-05
208,9.666466178500611e-09,5.801767244703364e-09,6.688018849795924e-05,4.0141172563150036e-05
209,9.552767199922928e-09,5.755489506434246e-09,6.672904457004163e-05,4.0203881007417025e-05
210,9.4410000760532e-09,5.709711332933678e-09,6.657940087998118e-05,4.0265772342127124e-05
211,9.331114452669327e-09,5.664421306188381e-09,6.64311796151955e-05,4.0326821744201744e-05
212,9.22306152236014e-09,5.6196082905558036e-09,6.628430417734148e-05,4.038700429197526e-05
213,9.116793978574077e-09,5.575261430383786e-09,6.613869921304328e-05,4.0446295007305624e-05
214,9.012265971009292e-09,5.531370147465896e-09,6.599429064304786e-05,4.0504668896856995e-05
215,8.909433062297612e-09,5.487924138338978e-09,6.58510056897921e-05,4.0562100992508216e-05
216,8.808252185936874e-09,5.444913371429378e-09,6.57087729033666e-05,4.061856639084213e-05
217,8.708681605428105e-09,5.402328084054331e-09,6.556752218586236e-05,4.067404029167362e-05
218,8.610680874576143e-09,5.3601587792849365e-09,6.54271848140901e-05,4.072849803557563e-05
219,8.514210798913863e-09,5.318396222677043e-09,6.528769346066099e-05,4.078191514036402e-05
220,8.419233398212333e-09,5.2770314388764655e-09,6.5148982213423e-05,4.083426733650536e-05
221,8.325711870040508e-09,5.2360557081047505e-09,6.501098659324521e-05,4.088553060141232e-05
222,8.233610554340002e-09,5.195460562531818e-09,6.487364357014748e-05,4.0935681192594926e-05
223,8.142894898981948e-09,5.155237782541705e-09,6.473689157777379e-05,4.0984695679637214e-05
224,8.053531426274299e-09,5.11537939289759e-09,6.460067052620883e-05,4.1032550974971535e-05
225,7.96548770038962e-09,5.0758776588122886e-09,6.446492181314162e-05,4.107922436342488e-05
226,7.878732295684454e-09,5.036725081930349e-09,6.43295883333799e-05,4.112469353051429e-05
227,7.793234765882938e-09,4.997914396227825e-09,6.419461448672325e-05,4.1168936589470215e-05
228,7.708965614098366e-09,4.959438563835819e-09,6.405994618420373e-05,4.121193210696988e-05
229,7.625896263667683e-09,4.921290770793795e-09,6.392553085270586e-05,4.125365912756465e-05
230,7.54399902977497e-09,4.883464422738611e-09,6.379131743797989e-05,4.129409719678773e-05
231,7.4632470918411e-09,4.845953140535275e-09,6.365725640606453e-05,4.133322638293208e-05
232,7.383614466657695e-09,4.808750755855233e-09,6.352329974313783e-05,4.137102729748932e-05
233,7.305075982244519e-09,4.771851306708049e-09,6.338940095381653e-05,4.1407481114244335e-05
234,7.227607252410438e-09,4.73524903293229e-09,6.325551505792795e-05,4.144256958702239e-05
235,7.1511846519987686e-09,4.69893837165127e-09,6.312159858577858e-05,4.147627506608741e-05
236,7.075785292798896e-09,4.662913952699353e-09,6.298760957194798e-05,4.1508580513193806e-05
237,7.001387000106645e-09,4.6271705940244006e-09,6.285350754763722e-05,4.1539469515295705e-05
238,6.927968289916701e-09,4.5917032970718265e-09,6.271925353160339e-05,4.156892629692012e-05
239,6.855508346731207e-09,4.5565072421558015e-09,6.258481001971548e-05,4.159693573121391e-05
240,6.7839870019690775e-09,4.521577783822848e-09,6.245014097316615e-05,4.1623483349675223e-05
241,6.713384712961412e-09,4.4869104462131526e-09,6.231521180537809e-05,4.1648555350583735e-05
242,6.643682542518977e-09,4.452500918424807e-09,6.217998936764516e-05,4.167213860614624e-05
243,6.574862139058111e-09,4.418345049885961e-09,6.204444193354924e-05,4.1694220668375185e-05
244,6.506905717272163e-09,4.384438845739952e-09,6.190853918219668e-05,4.171478977372184e-05
245,6.439796039335963e-09,4.350778462248272e-09,6.177225218031995e-05,4.1733834846486485e-05
246,6.373516396631234e-09,4.317360202216063e-09,6.163555336329e-05,4.175134550103035e-05
247,6.308050591981432e-09,4.284180510444871e-09,6.149841651508852e-05,4.176731204281672e-05
248,6.243382922384818e-09,4.251235969217128e-09,6.13608167472893e-05,4.178172546830993e-05
249,6.179498162234952e-09,4.218523293816749e-09,6.122273047709924e-05,4.179457746376266e-05
250,6.116381547018248e-09,4.186039328090157e-09,6.108413540451151e-05,4.18058604029247e-05
251,6.054018757478401e-09,4.153781040051797e-09,6.094501048862332e-05,4.1815567343706674e-05
252,5.992395904238002e-09,4.121745517538169e-09,6.080533592317274e-05,4.1823692023834906e-05
253,5.93149951286778e-09,4.089929963914206e-09,6.0665093111348956e-05,4.1830228855534625e-05
254,5.871316509394338e-09,4.0583316938357075e-09,6.0524264639932254e-05,4.183517291928022e-05
255,5.811834206237294e-09,4.026948129071355e-09,6.0382834252818674e-05,4.183851995665237e-05
256,5.753040288567191e-09,3.995776794387677e-09,6.024078682398698e-05,4.184026636234304e-05
257,5.694922801075614e-09,3.9648153135002586e-09,6.009810832996444e-05,4.1840409175351126e-05
258,5.637470135149169e-09,3.9340614050941906e-09,5.9954785821848547e-05,4.1838946069411276e-05
259,5.580671016439224e-09,3.903512878916737e-09,5.981080739694253e-05,4.183587534270058e-05
260,5.524514492819356e-09,3.873167631944877e-09,5.966616217006096e-05,4.183119590686729e-05
261,5.4689899227227574e-09,3.843023644630394e-09,5.952084024456395e-05,4.182490727542765e-05
262,5.414086963851851e-09,3.813078977224829e-09,5.9374832683175664e-05,4.1817009551576526e-05
263,5.359795562252567e-09,3.7833317661865835e-09,5.922813147864456e-05,4.1807503415458125e-05
264,5.30610594174585e-09,3.753780220672236e-09,5.908072952430107e-05,4.179639011094402e-05
265,5.253008593709041e-09,3.72442261911392e-09,5.893262058456854e-05,4.178367143196473e-05
266,5.200494267199887e-09,3.695257305884563e-09,5.8783799265481954e-05,4.176934970844276e-05
267,5.148553959416034e-09,3.6662826880524414e-09,5.863426098526873e-05,4.175342779187304e-05
268,5.097178906482897e-09,3.6374972322265015e-09,5.8484001945044357e-05,4.173590904059862e-05
269,5.046360574562951e-09,3.6088994614936205e-09,5.833301909967548e-05,4.1716797304827586e-05
270,4.996090651279471e-09,3.5804879524488633e-09,5.81813101288611e-05,4.1696096911437996e-05
271,4.946361037447806e-09,3.552261332319556e-09,5.8028873408481106e-05,4.167381264861604e-05
272,4.8971638391074856e-09,3.5242182761839592e-09,5.787570798226209e-05,4.16499497503737e-05
273,4.848491359848219e-09,3.4963575042849798e-09,5.772181353380549e-05,4.1624513880989356e-05
274,4.800336093423216e-09,3.4686777794393846e-09,5.75671903590255e-05,4.159751111941657e-05
275,4.752690716643047e-09,3.4411779045426667e-09,5.741183933903939e-05,4.15689479437031e-05
276,4.705548082543434e-09,3.4138567201696377e-09,5.72557619135533e-05,4.153883121546288e-05
277,4.658901213820372e-09,3.3867131022706512e-09,5.709896005478378e-05,4.150716816444192e-05
278,4.612743296526026e-09,3.3597459599632218e-09,5.694143624195448e-05,4.147396637321861e-05
